codigo,nombre,descripcion,categoria,unidad_medida,peso_kg
M156-200,MARCO 1.56 X 2.00,,Torres de trabajo,pieza,22.000
M156-150,MARCO 1.56 X 1.50,,Torres de trabajo,pieza,18.000
M156-100,MARCO 1.56 X 1.00,,Torres de trabajo,pieza,13.000
MP-156-200,MARCO PUENTE,,Torres de trabajo,pieza,25.000
M120-200,MARCO 1.20 X 2.00,,Torres de trabajo,pieza,20.000
M120-150,MARCO 1.20 X 1.50,,Torres de trabajo,pieza,15.000
M120-100,MARCO 1.20 X 1.00,,Torres de trabajo,pieza,10.000
M80-200,MARCO .80 X 2.00,,Torres de trabajo,pieza,15.000
M80-150,MARCO .80 X 1.50,,Torres de trabajo,pieza,13.000
M80-100,MARCO .80 X 1.00,,Torres de trabajo,pieza,9.000
MAR120-200,MARCO ALTA RESISTENCIA 1.20 X 2.00,,Torres de trabajo,pieza,25.000
MAR120-150,MARCO ALTA RESISTENCIA 1.20 X 1.50,,Torres de trabajo,pieza,18.000
MAR120-100,MARCO ALTA RESISTENCIA 1.20 X 1.00,,Torres de trabajo,pieza,13.000
COO,COOPLE,,Torres de trabajo,pieza,0.200
BAR-SEG,BARANDAL DE SEGURIDAD 2.20,,Torres de trabajo,pieza,0.600
C-250,CRUCETA 250,,Torres de trabajo,pieza,8.000
C-244,CRUCETA 244,,Torres de trabajo,pieza,8.000
C-220,CRUCETA 220,,Torres de trabajo,pieza,8.000
C-196,CRUCETA 196,,Torres de trabajo,pieza,7.000
C-165,CRUCETA 166,,Torres de trabajo,pieza,6.000
C-130,CRUCETA 130,,Torres de trabajo,pieza,5.000
PM45-220,PLATAFORMA BASE DE MADERA .45 X 220,,Torres de trabajo,pieza,25.000
PA30-220,TABLON ANTIDERRAPANTE .30 X 220,,Torres de trabajo,pieza,34.000
R8,"LLANTAS 8"" FRENO DE MARIPOSA",,Torres de trabajo,pieza,4.000
RP8,"LLANTA 8"" DE POLIURETANO",,Torres de trabajo,pieza,5.000
RP6,"LLANTA 6"" DE POLIURETANO",,Torres de trabajo,pieza,5.000
BAS,BASE,,Torres de trabajo,pieza,1.000
NB-50,NIVELADOR BASE 50 CM,,Torres de trabajo,pieza,5.000
NC-50,NIVELADOR CABEZAL 50 CM,,Torres de trabajo,pieza,5.000
NB-70,NIVELADOR BASE 70 CM,,Torres de trabajo,pieza,6.000
NC-70,NIVELADOR CABEZAL 70 CM,,Torres de trabajo,pieza,6.000
EST,ESTABILIZADOR,,Torres de trabajo,pieza,5.000
EI-L,ESCALERA INTERNA LIGERA,,Torres de trabajo,pieza,43.000
EI-R,ESCALERA INTERNA REFORZADA,,Torres de trabajo,pieza,53.000
PASS-EI,PASAMANOS ESCALERAS INTERNAS,,Torres de trabajo,pieza,4.000
LIRA,LIRA,,Hamacas,pieza,14.000
P-HAM-A-200,"PLATAFORMA HAMACA 2.00 / 50 M ""BASE MONTEN""",,Hamacas,pieza,0.000
P-HAM-A-400,"PLATAFORMA HAMACA 4.00 / 50 M ""BASE MONTEN""",,Hamacas,pieza,0.000
P-HAM-M-200,PLATAFORMA DE MADERA DE 2.00M,,Hamacas,pieza,0.000
P-HAM-M-400,PLATAFORMA DE MADERA DE 4.00M,,Hamacas,pieza,0.000
BAR-HAM-TUB 4.00,,,Hamacas,pieza,0.000
BAR-HAM-TUB 2.00,,,Hamacas,pieza,0.000
BAR-HAM-190-110,,,Hamacas,pieza,0.000
BAR-HAM-190-80,,,Hamacas,pieza,0.000
ROD-HAM -C,,,Hamacas,pieza,0.000
VARILL,VARILLA PARA HAMACA,,Hamacas,pieza,0.000
T-HAMACA,,,Hamacas,pieza,0.000
MAL-50,MALACATE 50 MTRS,,Hamacas,pieza,0.000
MAL-100,MALACATE 100 MTRS,,Hamacas,pieza,0.000
TIR-50,TIRFOR 50 METROS,,Hamacas,pieza,0.000
CAB-TIR-50,CABLE PARA TIRFOR 50 METROS,,Hamacas,pieza,0
CAB-TIR-100,CABLE PARA TIRFOR 100 METROS,,Hamacas,pieza,0
PEZ-PRE,PESCANTE,,Hamacas,pieza,0
PEZ-REF,PESCANTE REFORZADO,,Hamacas,pieza,0
CON-PES,,,Hamacas,pieza,0
P300E,PUNTAL EUROPEO 3 M,,Apuntalamiento,pieza,8.2
P400E,PUNTAL AUROPEO 4 M,,Apuntalamiento,pieza,10
P300N,PUNTAL ICAM 3 M,,Apuntalamiento,pieza,0
P400N,PUNTAL ICAM 4 M,,Apuntalamiento,pieza,0
PR300,PUNTAL REFORZADO ICAM 3 M,,Apuntalamiento,pieza,0
PR400,PUNTAL REFORZADO ICAM 4M,,Apuntalamiento,pieza,0
V-2.14,VIGA MONTEN 2.14 M,,Apuntalamiento,pieza,17.8
V-1.86,VIGA MONTEN 1.86 M,,Apuntalamiento,pieza,15.48
V-1.61,VIGA MONTEN 1.61M,,Apuntalamiento,pieza,13.4
V-1.16,VIGA MONTEN 1.16 M,,Apuntalamiento,pieza,9.65
V-.74,VIGA MONTEN 0.73M,,Apuntalamiento,pieza,6.07
V-2.14-M,VIGA MADERA 2.14 M,,Apuntalamiento,pieza,
V-1.86-M,VIGA MADERA 1.86 M,,Apuntalamiento,pieza,
V-1.61-M,VIGA MADERA 1.61M,,Apuntalamiento,pieza,
V-1.16-M,VIGA MADERA 1.16 M,,Apuntalamiento,pieza,
V-.74-M,VIGA MADERA 0.73M,,Apuntalamiento,pieza,
SEG-COLL,PERNO DE SEG COLL ROLL,,Torres de trabajo,pieza,
SEG-GAL,PERNO DE SEG GALVANIZADO,,Torres de trabajo,pieza,
VALL-GAL,VALLA DE EGURIDAD GALVANIZADA,,Vallas,pieza,
VALL -PINT,VALLA DE EGURIDAD PINTADA,,Vallas,pieza,
VALLA-REF,VALLA DE SEGURIDAD REFORZADA,,Vallas,pieza,
FLETE,SERVICIO DE FLETE,,,pieza,
ARMADO,SERVICIO DE ARMADO,,,pieza,
BAS-REG 60,"BASE REGULABLE 0,60M AR",,,pieza,
